x-axis,1,2,3
second,Volt,Volt,Volt
-3.35000E-03,+8.11055E-03,+2.21105529E+00,-470.77897E-03
-3.32500E-03,+8.73869E-03,+2.21105529E+00,-433.09053E-03
-3.30000E-03,+9.34171E-03,+2.21105529E+00,-276.05535E-03
-3.27500E-03,+9.71859E-03,+2.21105529E+00,-276.05535E-03
-3.25000E-03,+10.52261E-03,+2.21105529E+00,-470.77897E-03
-3.22500E-03,+10.52261E-03,+2.05402012E+00,-320.02520E-03
-3.20000E-03,+10.94975E-03,+2.21105529E+00,-276.05535E-03
-3.17500E-03,+11.10050E-03,+2.21105529E+00,-276.05535E-03
-3.15000E-03,+10.52261E-03,+2.21105529E+00,-276.05535E-03
-3.12500E-03,+10.52261E-03,+2.21105529E+00,-477.06038E-03
-3.10000E-03,+10.89950E-03,+2.21105529E+00,-276.05535E-03
-3.07500E-03,+10.52261E-03,+2.15452263E+00,-276.05535E-03
-3.05000E-03,+10.52261E-03,+2.21105529E+00,-470.77897E-03
-3.02500E-03,+10.69849E-03,+2.21105529E+00,-320.02520E-03
-3.00000E-03,+11.32663E-03,+2.21105529E+00,-276.05535E-03
-2.97500E-03,+11.90452E-03,+2.15452263E+00,-276.05535E-03
-2.95000E-03,+12.13065E-03,+2.01005027E+00,-477.06038E-03
-2.92500E-03,+12.30653E-03,+2.01005027E+00,-276.05535E-03
-2.90000E-03,+12.93467E-03,+2.11683419E+00,-276.05535E-03
-2.87500E-03,+13.51256E-03,+2.06658293E+00,-276.05535E-03
-2.85000E-03,+12.93467E-03,+2.20477389E+00,-477.06038E-03
-2.82500E-03,+12.13065E-03,+2.01005027E+00,-320.02520E-03
-2.80000E-03,+10.52261E-03,+2.01005027E+00,-276.05535E-03
-2.77500E-03,+8.91457E-03,+2.01005027E+00,-332.58801E-03
-2.75000E-03,+7.30653E-03,+2.01005027E+00,-276.05535E-03
-2.72500E-03,+6.32663E-03,+2.01005027E+00,-433.09053E-03
-2.70000E-03,+4.89447E-03,+2.11683419E+00,-276.05535E-03
-2.67500E-03,+4.09045E-03,+2.01005027E+00,-276.05535E-03
-2.65000E-03,+4.06533E-03,+2.01005027E+00,-276.05535E-03
-2.62500E-03,+2.48241E-03,+2.16708544E+00,-276.05535E-03
-2.60000E-03,+2.48241E-03,+2.01005027E+00,-276.05535E-03
-2.57500E-03,+2.25628E-03,+2.01005027E+00,-276.05535E-03
-2.55000E-03,+899.50E-06,+2.01005027E+00,-282.33676E-03
-2.52500E-03,+1.05025E-03,+2.01005027E+00,-320.02520E-03
-2.50000E-03,+497.49E-06,+2.01005027E+00,-276.05535E-03
-2.47500E-03,+296.48E-06,+2.01005027E+00,-477.06038E-03
-2.45000E-03,+874.37E-06,+2.01005027E+00,-276.05535E-03
-2.42500E-03,+698.49E-06,+2.01005027E+00,-276.05535E-03
-2.40000E-03,+447.24E-06,+2.01005027E+00,-276.05535E-03
-2.37500E-03,+648.24E-06,+2.01005027E+00,-332.58801E-03
-2.35000E-03,+70.35E-06,+2.01005027E+00,-282.33676E-03
-2.32500E-03,+70.35E-06,+1.96608042E+00,-276.05535E-03
-2.30000E-03,+70.35E-06,+1.91582916E+00,-276.05535E-03
-2.27500E-03,+70.35E-06,+2.01005027E+00,-332.58801E-03
-2.25000E-03,+70.35E-06,+1.81532665E+00,-470.77897E-03
-2.22500E-03,+70.35E-06,+1.96608042E+00,-320.02520E-03
