#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.3275000000e+09, -1.6759204864e-01, -4.6275493503e-01, -6.1577346093e+00, -2.7051005378e+01, -5.0000000000e+01, 1.7513737522e+09
3.3290000000e+09, -3.0217969418e-01, -3.9203754067e-01, -6.1082327844e+00, -2.7360213760e+01, -5.0000000000e+01, 1.7513737522e+09
3.3305000000e+09, -4.0784594417e-01, -2.8107419610e-01, -6.1022983723e+00, -2.7670915066e+01, -5.0000000000e+01, 1.7513737522e+09
3.3320000000e+09, -4.7364801168e-01, -1.4149281383e-01, -6.1196516431e+00, -2.7984042742e+01, -5.0000000000e+01, 1.7513737522e+09
3.3335000000e+09, -4.9593475461e-01, 1.4274208807e-02, -6.0879127848e+00, -2.8303108371e+01, -5.0000000000e+01, 1.7513737522e+09
3.3350000000e+09, -4.6807482839e-01, 1.6632673144e-01, -6.0772765567e+00, -2.8615759935e+01, -5.0000000000e+01, 1.7513737522e+09
3.3365000000e+09, -3.9336895943e-01, 3.0039212108e-01, -6.1087900546e+00, -2.8926507348e+01, -5.0000000000e+01, 1.7513737522e+09
3.3380000000e+09, -2.8507804871e-01, 4.0604063869e-01, -6.0882046076e+00, -2.9233001326e+01, -5.0000000000e+01, 1.7513737522e+09
3.3395000000e+09, -1.4284473658e-01, 4.7146084905e-01, -6.1496610150e+00, -2.9550938747e+01, -5.0000000000e+01, 1.7513737522e+09
3.3410000000e+09, 7.6069575734e-03, 4.9222671986e-01, -6.1556591900e+00, -2.9860583153e+01, -5.0000000000e+01, 1.7513737522e+09
3.3425000000e+09, 1.5549792349e-01, 4.6417346597e-01, -6.2044683145e+00, -3.0168379649e+01, -5.0000000000e+01, 1.7513737522e+09
3.3440000000e+09, 2.8776386380e-01, 3.9575365186e-01, -6.2082325874e+00, -3.0473832329e+01, -5.0000000000e+01, 1.7513737522e+09
3.3455000000e+09, 3.9466890693e-01, 2.8480914235e-01, -6.2547198392e+00, -3.0790823785e+01, -5.0000000000e+01, 1.7513737522e+09
3.3470000000e+09, 4.5798763633e-01, 1.5655453503e-01, -6.3029815796e+00, -3.1086547357e+01, -5.0000000000e+01, 1.7513737522e+09
3.3485000000e+09, 4.8034769297e-01, 1.0221896693e-02, -6.3669195715e+00, -3.1394649544e+01, -5.0000000000e+01, 1.7513737522e+09
3.3500000000e+09, 4.6073043346e-01, -1.3581874967e-01, -6.3691614033e+00, -3.1702596737e+01, -5.0000000000e+01, 1.7513737522e+09
3.3515000000e+09, 4.0010815859e-01, -2.6550284028e-01, -6.3718157318e+00, -3.2001787554e+01, -5.0000000000e+01, 1.7513737522e+09
3.3530000000e+09, 3.0312484503e-01, -3.7493905425e-01, -6.3364435696e+00, -3.2306842022e+01, -5.0000000000e+01, 1.7513737522e+09
3.3545000000e+09, 1.7590367794e-01, -4.4934237003e-01, -6.3292250918e+00, -3.2613592226e+01, -5.0000000000e+01, 1.7513737522e+09
3.3560000000e+09, 3.2345887274e-02, -4.8645597696e-01, -6.2399699376e+00, -3.2920327661e+01, -5.0000000000e+01, 1.7513737522e+09
3.3575000000e+09, -1.1621756852e-01, -4.7257584333e-01, -6.2555512305e+00, -3.3227861281e+01, -5.0000000000e+01, 1.7513737522e+09
3.3590000000e+09, -2.5696060061e-01, -4.1691356897e-01, -6.2006810985e+00, -3.3539070670e+01, -5.0000000000e+01, 1.7513737522e+09
3.3605000000e+09, -3.7321051955e-01, -3.1801956892e-01, -6.1902482235e+00, -3.3851796542e+01, -5.0000000000e+01, 1.7513737522e+09
3.3620000000e+09, -4.5315688849e-01, -1.8801137805e-01, -6.1852491317e+00, -3.4164240768e+01, -5.0000000000e+01, 1.7513737522e+09
3.3635000000e+09, -4.9298813939e-01, -4.0524773300e-02, -6.1140230413e+00, -3.4475501266e+01, -5.0000000000e+01, 1.7513737522e+09
3.3650000000e+09, -4.8093345761e-01, 1.0853213817e-01, -6.1425753359e+00, -3.4779471028e+01, -5.0000000000e+01, 1.7513737522e+09
3.3665000000e+09, -4.2486664653e-01, 2.5063043833e-01, -6.1380919151e+00, -3.5090481918e+01, -5.0000000000e+01, 1.7513737522e+09
3.3680000000e+09, -3.2683384418e-01, 3.7016248703e-01, -6.1289393093e+00, -3.5405002268e+01, -5.0000000000e+01, 1.7513737522e+09
3.3695000000e+09, -2.0275183022e-01, 4.5311751962e-01, -6.0831736507e+00, -3.5707576111e+01, -5.0000000000e+01, 1.7513737522e+09
3.3710000000e+09, -5.0671458244e-02, 4.9195373058e-01, -6.1156828163e+00, -3.6025677007e+01, -5.0000000000e+01, 1.7513737522e+09
3.3725000000e+09, 1.0378924757e-01, 4.8109883070e-01, -6.1577513165e+00, -3.6340792887e+01, -5.0000000000e+01, 1.7513737522e+09
