#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.6063420000e+09, -4.6733859181e-01, -9.4561718404e-02, -6.4331024121e+00, -2.9419472303e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063480000e+09, -4.7028660774e-01, -9.4547659159e-02, -6.3806686057e+00, -2.9431947607e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063540000e+09, -4.6927982569e-01, -9.3188837171e-02, -6.4033957139e+00, -2.9455643893e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063600000e+09, -4.6872466803e-01, -9.2350818217e-02, -6.4162443819e+00, -2.9470586011e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063660000e+09, -4.7194489837e-01, -9.1985635459e-02, -6.3602467288e+00, -2.9490984174e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063720000e+09, -4.7103041410e-01, -9.1606184840e-02, -6.3777896455e+00, -2.9495099879e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063780000e+09, -4.7174075246e-01, -9.0363673866e-02, -6.3694312277e+00, -2.9523315956e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063840000e+09, -4.7028416395e-01, -9.1184303165e-02, -6.3925180525e+00, -2.9500770792e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063900000e+09, -4.6945935488e-01, -8.6080975831e-02, -6.4244242866e+00, -2.9602452075e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063960000e+09, -4.7130581737e-01, -8.9615546167e-02, -6.3796992545e+00, -2.9536926028e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064020000e+09, -4.7122162580e-01, -8.8634230197e-02, -6.3844998281e+00, -2.9556703862e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064080000e+09, -4.7035607696e-01, -8.6990050972e-02, -6.4053997843e+00, -2.9587139726e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064140000e+09, -4.7292947769e-01, -8.7940312922e-02, -6.3564454776e+00, -2.9577443688e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064200000e+09, -4.7064569592e-01, -8.3674088121e-02, -6.4109721457e+00, -2.9656453206e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064260000e+09, -4.7213709354e-01, -8.2969762385e-02, -6.3865485805e+00, -2.9676364845e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064320000e+09, -4.7169736028e-01, -8.3893388510e-02, -6.3914824420e+00, -2.9655788827e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064380000e+09, -4.7256854177e-01, -8.5180364549e-02, -6.3718454083e+00, -2.9632578076e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064440000e+09, -4.7248083353e-01, -8.1216484308e-02, -6.3858524191e+00, -2.9713625533e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064500000e+09, -4.7332742810e-01, -8.0672830343e-02, -6.3724060050e+00, -2.9727771376e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064560000e+09, -4.7010737658e-01, -8.2362852991e-02, -6.4247566941e+00, -2.9681528529e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064620000e+09, -4.7111940384e-01, -8.2041002810e-02, -6.4076380443e+00, -2.9691809981e+00, -3.9000000000e+01, 1.7513756993e+09
3.6064680000e+09, -4.7143852711e-01, -7.8953586519e-02, -6.4113669185e+00, -2.9756587913e+00, -3.9000000000e+01, 1.7513756993e+09
