#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.6064200000e+09, -4.7125536203e-01, -8.5841596127e-02, -6.3931118868e+00, -2.9614129778e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064260000e+09, -4.7036963701e-01, -8.0976352096e-02, -6.4243719597e+00, -2.9711090493e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064320000e+09, -4.7151023149e-01, -8.2827597856e-02, -6.3981890869e+00, -2.9677023286e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064380000e+09, -4.6808993816e-01, -8.3697192371e-02, -6.4567367997e+00, -2.9646566852e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064440000e+09, -4.7189000249e-01, -8.3112068474e-02, -6.3905121172e+00, -2.9672547174e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064500000e+09, -4.7209373116e-01, -8.3970509469e-02, -6.3841656736e+00, -2.9655652804e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064560000e+09, -4.7162228823e-01, -8.0248050392e-02, -6.4041619245e+00, -2.9730535851e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064620000e+09, -4.7394156456e-01, -7.9287536442e-02, -6.3656267535e+00, -2.9758337496e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064680000e+09, -4.7039154172e-01, -8.0153480172e-02, -6.4265073484e+00, -2.9728163162e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064740000e+09, -4.6977600455e-01, -7.9513370991e-02, -6.4395143263e+00, -2.9739236936e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064800000e+09, -4.7390344739e-01, -7.9459562898e-02, -6.3657926537e+00, -2.9754675663e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064860000e+09, -4.7531983256e-01, -7.9011105001e-02, -6.3419072248e+00, -2.9768715546e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064920000e+09, -4.7103667259e-01, -7.8942783177e-02, -6.4186041629e+00, -2.9755421246e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064980000e+09, -4.7142729163e-01, -7.8601621091e-02, -6.4126224869e+00, -2.9763812226e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065040000e+09, -4.7328111529e-01, -7.6407782733e-02, -6.3858730540e+00, -2.9815310168e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065100000e+09, -4.7208318114e-01, -7.6016314328e-02, -6.4084587017e+00, -2.9819399533e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065160000e+09, -4.6944424510e-01, -7.7026844025e-02, -6.4529427119e+00, -2.9789608870e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065220000e+09, -4.7371998429e-01, -7.3746636510e-02, -6.3855702255e+00, -2.9871566844e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065280000e+09, -4.6971628070e-01, -7.5658872724e-02, -6.4520482467e+00, -2.9818908059e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065340000e+09, -4.7167396545e-01, -7.0784956217e-02, -6.4304372255e+00, -2.9926324966e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065400000e+09, -4.7252663970e-01, -7.0241637528e-02, -6.4165521850e+00, -2.9940221161e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065460000e+09, -4.7433817387e-01, -7.1907244623e-02, -6.3795627298e+00, -2.9911432747e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065520000e+09, -4.7124102712e-01, -7.1450471878e-02, -6.4364275991e+00, -2.9911168495e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065580000e+09, -4.7271296382e-01, -6.9222725928e-02, -6.4159048491e+00, -2.9961889914e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065640000e+09, -4.7441709042e-01, -7.1329817176e-02, -6.3797105968e+00, -2.9923579360e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065700000e+09, -4.7590565682e-01, -7.0693284273e-02, -6.3547951959e+00, -2.9941262415e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065760000e+09, -4.7413414717e-01, -7.3169179261e-02, -6.3797596608e+00, -2.9884788248e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065820000e+09, -4.7415617108e-01, -6.6666536033e-02, -6.3965560737e+00, -3.0019079257e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065880000e+09, -4.7516956925e-01, -6.6194511950e-02, -6.3795537117e+00, -3.0031763213e+00, -4.2000000000e+01, 1.7513755741e+09
3.6065940000e+09, -4.7492834926e-01, -6.6613227129e-02, -6.3828300457e+00, -3.0022421800e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066000000e+09, -4.7571027279e-01, -6.6731706262e-02, -6.3685192084e+00, -3.0022240241e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066060000e+09, -4.7404795885e-01, -6.5864481032e-02, -6.4005150741e+00, -3.0035359533e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066120000e+09, -4.7503465414e-01, -6.4010627568e-02, -6.3873449350e+00, -3.0076500630e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066180000e+09, -4.7559455037e-01, -6.3545547426e-02, -6.3784145754e+00, -3.0087664886e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066240000e+09, -4.7562834620e-01, -6.4056910574e-02, -6.3765776713e+00, -3.0077196880e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066300000e+09, -4.7655344009e-01, -6.5293863416e-02, -6.3569957973e+00, -3.0054278013e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066360000e+09, -4.7511398792e-01, -6.1740398407e-02, -6.3913182532e+00, -3.0123681939e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066420000e+09, -4.7599971294e-01, -6.2056079507e-02, -6.3746723044e+00, -3.0119538222e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066480000e+09, -4.7508326173e-01, -6.3735134900e-02, -6.3871372033e+00, -3.0082331911e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066540000e+09, -4.7551935911e-01, -6.1012431979e-02, -6.3857216161e+00, -3.0139829352e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066600000e+09, -4.7558167577e-01, -5.8531619608e-02, -6.3902077566e+00, -3.0191347233e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066660000e+09, -4.7457015514e-01, -5.7585317642e-02, -6.4105126747e+00, -3.0208409351e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066720000e+09, -4.7376069427e-01, -5.9975575656e-02, -6.4197703615e+00, -3.0156678383e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066780000e+09, -4.7499880195e-01, -5.6107770652e-02, -6.4059723779e+00, -3.0240155561e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066840000e+09, -4.7366559505e-01, -5.6004296988e-02, -6.4302704212e+00, -3.0239031067e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066900000e+09, -4.7768956423e-01, -5.5683169514e-02, -6.3584702109e+00, -3.0255486744e+00, -4.2000000000e+01, 1.7513755741e+09
3.6066960000e+09, -4.7568017244e-01, -5.7542752474e-02, -6.3906066155e+00, -3.0212081833e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067020000e+09, -4.7531360388e-01, -5.6106884032e-02, -6.4002987981e+00, -3.0240945525e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067080000e+09, -4.7712776065e-01, -5.2891921252e-02, -6.3742619858e+00, -3.0311885860e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067140000e+09, -4.7476145625e-01, -5.2877683192e-02, -6.4169484683e+00, -3.0306724266e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067200000e+09, -4.7393497825e-01, -5.2498530596e-02, -6.4326596088e+00, -3.0312708266e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067260000e+09, -4.7577667236e-01, -5.1353827119e-02, -6.4016327068e+00, -3.0340720826e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067320000e+09, -4.7352421284e-01, -5.1757536828e-02, -6.4415780448e+00, -3.0327220134e+00, -4.2000000000e+01, 1.7513755741e+09
3.6067380000e+09, -4.7697716951e-01, -5.2995484322e-02, -6.3767637791e+00, -3.0309395308e+00, -4.2000000000e+01, 1.7513755741e+09
