#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
5.2162600000e+09, -2.5789120793e-01, -2.9100924730e-01, -8.2046470445e+00, -2.2959323067e+00, -3.5000000000e+01, 1.7513773112e+09
5.2162800000e+09, -2.6075866818e-01, -2.9132673144e-01, -8.1568811112e+00, -2.3008826063e+00, -3.5000000000e+01, 1.7513773112e+09
5.2163000000e+09, -2.6084044576e-01, -2.8743341565e-01, -8.2201441336e+00, -2.3077293938e+00, -3.5000000000e+01, 1.7513773112e+09
5.2163200000e+09, -2.6150363684e-01, -2.8960263729e-01, -8.1743174633e+00, -2.3052520664e+00, -3.5000000000e+01, 1.7513773112e+09
5.2163400000e+09, -2.6367473602e-01, -2.8653666377e-01, -8.1922166433e+00, -2.3146672075e+00, -3.5000000000e+01, 1.7513773112e+09
5.2163600000e+09, -2.6346471906e-01, -2.8484365344e-01, -8.2232049474e+00, -2.3172235181e+00, -3.5000000000e+01, 1.7513773112e+09
5.2163800000e+09, -2.6551368833e-01, -2.8441697359e-01, -8.1990128041e+00, -2.3218340759e+00, -3.5000000000e+01, 1.7513773112e+09
5.2164000000e+09, -2.6761016250e-01, -2.8359216452e-01, -8.1804295360e+00, -2.3272078100e+00, -3.5000000000e+01, 1.7513773112e+09
5.2164200000e+09, -2.6895633340e-01, -2.8343829513e-01, -8.1623270732e+00, -2.3299837987e+00, -3.5000000000e+01, 1.7513773112e+09
5.2164400000e+09, -2.6795458794e-01, -2.8046900034e-01, -8.2257166485e+00, -2.3333795689e+00, -3.5000000000e+01, 1.7513773112e+09
5.2164600000e+09, -2.6908758283e-01, -2.7972632647e-01, -8.2201660890e+00, -2.3368119433e+00, -3.5000000000e+01, 1.7513773112e+09
5.2164800000e+09, -2.7075529099e-01, -2.7852773666e-01, -8.2135068697e+00, -2.3420452691e+00, -3.5000000000e+01, 1.7513773112e+09
5.2165000000e+09, -2.7348604798e-01, -2.7788433433e-01, -8.1811549400e+00, -2.3482176507e+00, -3.5000000000e+01, 1.7513773112e+09
5.2165200000e+09, -2.7447777986e-01, -2.7871286869e-01, -8.1525488231e+00, -2.3485388906e+00, -3.5000000000e+01, 1.7513773112e+09
5.2165400000e+09, -2.7575823665e-01, -2.7568206191e-01, -8.1803298614e+00, -2.3563326280e+00, -3.5000000000e+01, 1.7513773112e+09
5.2165600000e+09, -2.7757975459e-01, -2.7272701263e-01, -8.1978651869e+00, -2.3650125104e+00, -3.5000000000e+01, 1.7513773112e+09
5.2165800000e+09, -2.7640438080e-01, -2.7125948667e-01, -8.2396349203e+00, -2.3655884690e+00, -3.5000000000e+01, 1.7513773112e+09
5.2166000000e+09, -2.7984064817e-01, -2.7241781354e-01, -8.1666678668e+00, -2.3696345517e+00, -3.5000000000e+01, 1.7513773112e+09
5.2166200000e+09, -2.8143194318e-01, -2.7146348357e-01, -8.1560284929e+00, -2.3742220940e+00, -3.5000000000e+01, 1.7513773112e+09
5.2166400000e+09, -2.8052932024e-01, -2.6937115192e-01, -8.2028303313e+00, -2.3764829567e+00, -3.5000000000e+01, 1.7513773112e+09
5.2166600000e+09, -2.8274977207e-01, -2.6809310913e-01, -8.1866715465e+00, -2.3827959152e+00, -3.5000000000e+01, 1.7513773112e+09
5.2166800000e+09, -2.8385812044e-01, -2.6737317443e-01, -8.1797402683e+00, -2.3860912583e+00, -3.5000000000e+01, 1.7513773112e+09
5.2167000000e+09, -2.8353333473e-01, -2.6690915227e-01, -8.1921014642e+00, -2.3863868012e+00, -3.5000000000e+01, 1.7513773112e+09
5.2167200000e+09, -2.8640481830e-01, -2.6279228926e-01, -8.2077144408e+00, -2.3991626619e+00, -3.5000000000e+01, 1.7513773112e+09
5.2167400000e+09, -2.8924611211e-01, -2.6300269365e-01, -8.1578078686e+00, -2.4036797726e+00, -3.5000000000e+01, 1.7513773112e+09
5.2167600000e+09, -2.8839284182e-01, -2.6237988472e-01, -8.1811745554e+00, -2.4033893486e+00, -3.5000000000e+01, 1.7513773112e+09
5.2167800000e+09, -2.8921306133e-01, -2.5941351056e-01, -8.2119690795e+00, -2.4104578056e+00, -3.5000000000e+01, 1.7513773112e+09
5.2168000000e+09, -2.8986829519e-01, -2.5678557157e-01, -8.2401744882e+00, -2.4166393634e+00, -3.5000000000e+01, 1.7513773112e+09
5.2168200000e+09, -2.9071569443e-01, -2.5835871697e-01, -8.2026200301e+00, -2.4150564563e+00, -3.5000000000e+01, 1.7513773112e+09
